z,P(Z≤z)_empirica,P(Z≤z)_teorica,error_absoluto
-3.9,4.2e-05,4.8096344017602614e-05,6.096344017602617e-06
-3.89,4.4e-05,5.012211099618835e-05,6.122110996188349e-06
-3.8800000000000003,4.5e-05,5.222823240182007e-05,7.228232401820064e-06
-3.8700000000000006,4.7e-05,5.4417676633699595e-05,7.417676633699598e-06
-3.8600000000000008,4.8e-05,5.669351253425642e-05,8.693512534256416e-06
-3.850000000000001,5e-05,5.905891241892226e-05,9.058912418922257e-06
-3.840000000000001,5.2e-05,6.151715518325482e-05,9.517155183254827e-06
-3.8300000000000014,5.6e-05,6.407162948887409e-05,8.07162948887409e-06
-3.8200000000000016,5.7e-05,6.672583702968415e-05,9.72583702968415e-06
-3.810000000000002,6.3e-05,6.948339587986453e-05,6.483395879864533e-06
-3.800000000000002,6.8e-05,7.234804392511926e-05,4.3480439251192585e-06
-3.7900000000000023,7.3e-05,7.532364237868242e-05,2.3236423786824175e-06
-3.7800000000000025,7.8e-05,7.841417938358422e-05,4.141793835842262e-07
-3.7700000000000027,8.1e-05,8.16237737026852e-05,6.237737026851958e-07
-3.760000000000003,8.4e-05,8.495667849799683e-05,9.566784979968366e-07
-3.750000000000003,8.5e-05,8.841728520080269e-05,3.417285200802683e-06
-3.7400000000000033,8.9e-05,9.201012747410417e-05,3.0101274741041754e-06
-3.7300000000000035,9.4e-05,9.573988526891303e-05,1.7398852689130308e-06
-3.7200000000000037,9.8e-05,9.961138897591501e-05,1.6113889759150174e-06
-3.710000000000004,0.000104,0.00010362962367402931,3.7037632597068226e-07
-3.700000000000004,0.000108,0.0001077997334773863,2.0026652261368968e-07
-3.6900000000000044,0.000109,0.00011212702598224489,3.1270259822448784e-06
-3.6800000000000046,0.000114,0.00011661697681536618,2.616976815366173e-06
-3.670000000000005,0.000118,0.00012127523428535566,3.2752342853556676e-06
-3.660000000000005,0.000121,0.00012610762413848423,5.107624138484226e-06
-3.6500000000000052,0.00013,0.00013112015442048186,1.1201544204818704e-06
-3.6400000000000055,0.000132,0.00013631902044579892,4.319020445798914e-06
-3.6300000000000057,0.000135,0.000141710609875816,6.710609875815995e-06
-3.620000000000006,0.000141,0.00014730150790746914,6.301507907469127e-06
-3.610000000000006,0.000145,0.00015309850257375144,8.098502573751444e-06
-3.6000000000000063,0.000151,0.00015910859015752973,8.108590157529722e-06
-3.5900000000000065,0.000161,0.0001653389807201053,4.338980720105303e-06
-3.5800000000000067,0.00017,0.00017179710374592603,1.7971037459260175e-06
-3.570000000000007,0.000173,0.0001784906139048426,5.4906139048426005e-06
-3.560000000000007,0.000184,0.00018542739693327282,1.4273969332728156e-06
-3.5500000000000074,0.000191,0.00019261557563562783,1.6155756356278183e-06
-3.5400000000000076,0.000193,0.00020006351600731435,7.063516007314348e-06
-3.530000000000008,0.0002,0.00020777983348061512,7.779833480615114e-06
-3.520000000000008,0.000205,0.00021577339929471082,1.0773399294710821e-05
-3.5100000000000082,0.000208,0.00022405334699108565,1.6053346991085662e-05
-3.5000000000000084,0.000212,0.0002326290790355173,2.062907903551729e-05
-3.4900000000000087,0.000225,0.00024151027356782801,1.651027356782802e-05
-3.480000000000009,0.000231,0.00025070689128052904,1.970689128052904e-05
-3.470000000000009,0.000242,0.00026022918242745753,1.822918242745753e-05
-3.4600000000000093,0.000247,0.0002700876939634653,2.3087693963465337e-05
-3.4500000000000095,0.000257,0.00028029327681616757,2.329327681616756e-05
-3.4400000000000097,0.000268,0.00029085709329073256,2.285709329073255e-05
-3.43000000000001,0.000276,0.00030179062460862635,2.579062460862636e-05
-3.42000000000001,0.000289,0.00031310567858118825,2.410567858118827e-05
-3.4100000000000104,0.000302,0.0003248143974188654,2.2814397418865356e-05
-3.4000000000000106,0.000313,0.0003369292656768676,2.3929265676867558e-05
-3.390000000000011,0.000324,0.0003494631183379573,2.546311833795731e-05
-3.380000000000011,0.000333,0.0003624291490330288,2.942914903302879e-05
-3.370000000000011,0.00035,0.00037584091840006743,2.584091840006743e-05
-3.3600000000000114,0.000361,0.00038971236258201477,2.871236258201478e-05
-3.3500000000000116,0.00038,0.00040405780186400405,2.4057801864004033e-05
-3.340000000000012,0.000394,0.0004188919494503518,2.489194945035181e-05
-3.330000000000012,0.00041,0.0004342299203816365,2.4229920381636533e-05
-3.3200000000000123,0.000426,0.0004500872405920973,2.40872405920973e-05
-3.3100000000000125,0.000441,0.000466479856107528,2.547985610752804e-05
-3.3000000000000127,0.000454,0.00048342414238375484,2.942414238375486e-05
-3.290000000000013,0.000471,0.0005009369137856987,2.9936913785698685e-05
-3.280000000000013,0.000492,0.0005190354332069478,2.703543320694776e-05
-3.2700000000000133,0.000506,0.0005377374218296686,3.1737421829668524e-05
-3.2600000000000136,0.000517,0.0005570610690245941,4.006106902459407e-05
-3.2500000000000138,0.000535,0.0005770250423907392,4.202504239073925e-05
-3.240000000000014,0.000556,0.0005976484979343864,4.1648497934386464e-05
-3.230000000000014,0.000578,0.000618951090386804,4.095109038680406e-05
-3.2200000000000144,0.000609,0.0006409529836600238,3.19529836600239e-05
-3.2100000000000146,0.000633,0.0006636748614399339,3.067486143993388e-05
-3.200000000000015,0.000649,0.0006871379379158126,3.813793791581266e-05
-3.190000000000015,0.000673,0.0007113639686453265,3.836396864532652e-05
-3.1800000000000153,0.000695,0.0007363752615538914,4.137526155389146e-05
-3.1700000000000155,0.000725,0.0007621946880671933,3.7194688067193333e-05
